Date,Adj Close,Close,High,Low,Open,Volume
2026-04-21,386.4200134277344,386.4200134277344,393.95001220703125,385.2200012207031,393.0,50530600
2026-04-22,387.510009765625,387.510009765625,393.010009765625,385.29998779296875,387.57000732421875,62362800
2026-04-23,373.7200012207031,373.7200012207031,386.0,368.3900146484375,375.2799987792969,93969500
2026-04-24,376.29998779296875,376.29998779296875,382.760009765625,370.7300109863281,373.5,62893300
2026-04-27,378.6700134277344,378.6700134277344,380.7799987792969,364.0199890136719,372.0899963378906,66735800
2026-04-28,376.0199890136719,376.0199890136719,382.2900085449219,372.5400085449219,374.67999267578125,50864400
2026-04-29,372.79998779296875,372.79998779296875,376.3999938964844,370.0400085449219,375.3999938964844,45384800
2026-04-30,381.6300048828125,381.6300048828125,384.75,368.1700134277344,372.75,51076000
2026-05-01,390.82000732421875,390.82000732421875,397.82000732421875,378.79998779296875,382.489990234375,65338300
2026-05-04,392.510009765625,392.510009765625,394.6400146484375,384.79998779296875,390.2300109863281,48765100
2026-05-05,389.3699951171875,389.3699951171875,402.1199951171875,389.0,395.19000244140625,47780600
2026-05-06,398.7300109863281,398.7300109863281,401.67999267578125,384.0199890136719,386.25,53465400
2026-05-07,411.7900085449219,411.7900085449219,415.8299865722656,402.1199951171875,407.4800109863281,64294200
2026-05-08,428.3500061035156,428.3500061035156,431.20001220703125,416.3900146484375,416.4800109863281,65050000
2026-05-11,445.0,445.0,449.1600036621094,416.79998779296875,422.1600036621094,78376100
2026-05-12,433.45001220703125,433.45001220703125,447.79998779296875,422.260009765625,441.4100036621094,60569300
2026-05-13,445.2699890136719,445.2699890136719,453.3999938964844,430.2099914550781,436.6700134277344,68283200
2026-05-14,443.29998779296875,443.29998779296875,451.9800109863281,441.1600036621094,446.489990234375,46070400
2026-05-15,422.239990234375,422.239990234375,434.6600036621094,422.0,433.9800109863281,52688700
2026-05-18,409.989990234375,409.989990234375,421.1300048828125,405.3299865722656,419.2699890136719,52474200
2026-05-19,404.1099853515625,404.1099853515625,405.6300048828125,393.6300048828125,403.1600036621094,46500600
2026-05-20,417.260009765625,417.260009765625,417.4599914550781,406.3900146484375,407.6000061035156,45079400
